TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10
0.0,0.104724,0.152832,0.08670399999999999,0.13134400000000002,0.155616,0.10585599999999999,0.085924,0.08534799999999998,0.091652
0.0,0.10311999999999999,0.152616,0.08820799999999998,0.125716,0.163156,0.10629199999999998,0.08943999999999999,0.08213200000000001,0.08932
0.0,0.111228,0.15839199999999998,0.08875599999999999,0.125644,0.157304,0.106748,0.08482,0.07468,0.092428
0.0,0.107976,0.163956,0.0849,0.12640800000000002,0.163896,0.100944,0.08939599999999999,0.07406399999999999,0.08846000000000001
0.0,0.11506800000000002,0.16634000000000002,0.08638399999999999,0.128152,0.16077999999999998,0.10052399999999999,0.09174800000000002,0.066752,0.084252
0.0,0.11477999999999997,0.159912,0.090024,0.131216,0.162804,0.09720400000000001,0.09190000000000001,0.06207999999999999,0.09008000000000001
0.0,0.11142800000000001,0.164796,0.08544,0.13374000000000003,0.16392400000000001,0.10496800000000002,0.089488,0.059092,0.08712400000000001
0.0,0.11685199999999998,0.161084,0.08222,0.13904,0.171684,0.099912,0.087148,0.055284,0.08677599999999999
0.0,0.11632400000000001,0.168204,0.08579200000000001,0.13611999999999996,0.16611199999999998,0.099176,0.09491999999999998,0.048504000000000005,0.084848
0.0,0.11809200000000002,0.165488,0.086556,0.13747199999999998,0.167352,0.10144400000000002,0.092552,0.045323999999999996,0.08571999999999999
0.0,0.12178799999999998,0.16483599999999998,0.086036,0.13008799999999998,0.167464,0.10225200000000001,0.09501200000000001,0.042948,0.089576
0.0,0.12158,0.16688799999999998,0.089352,0.134192,0.169344,0.09780400000000002,0.09212799999999999,0.041476,0.08723600000000001
0.0,0.12668400000000002,0.170004,0.087352,0.136056,0.16746,0.098868,0.09559599999999999,0.035736000000000004,0.08224400000000001
0.0,0.12290799999999999,0.17420799999999997,0.08307600000000001,0.134328,0.16644799999999998,0.099904,0.093284,0.035671999999999995,0.090172
0.0,0.125768,0.16471200000000003,0.08779200000000001,0.135352,0.170028,0.09661600000000001,0.099716,0.035136,0.08488
0.0,0.12636399999999998,0.171856,0.08536799999999999,0.13217600000000002,0.17508,0.095408,0.100488,0.028436000000000006,0.084824
0.0,0.131708,0.16947600000000002,0.084888,0.13846,0.172636,0.09656400000000001,0.10125600000000001,0.026072,0.07894
0.0,0.13188,0.16942000000000002,0.08620399999999999,0.14078399999999996,0.171852,0.091056,0.099116,0.028115999999999995,0.081572
0.0,0.12802400000000003,0.17092000000000002,0.0879,0.13838,0.172232,0.094032,0.10474399999999999,0.023156000000000003,0.08061199999999999
